Ta+Au @ 40A MeV from TAPS experiment at GANIL - Selected photon pairs.
TOF1[ns]TOF2[ns] E1[MeV]E2[MeV] Theta1 Theta2   Phi1    Phi2
1.246   1.528    89.97  66.09   63.37   56.97  162.96   -2.80
1.408   1.415    41.34  25.59  143.98  113.70   -4.46  -11.74
3.027   2.946    26.98  28.50   57.56  140.94 -163.58  163.91
1.565   1.045    26.29  40.02  111.21   52.09   17.14  -15.99
1.284   2.052    26.25  51.63  144.63   61.31 -179.36   -3.29
1.882   1.924    29.93  43.82   47.79  139.37  159.16   25.26
1.357   0.921    25.94  88.57  103.17   52.34   14.73   21.04
1.381   0.656    60.84  74.78  149.98   48.77 -157.58  -20.19
2.030   2.073    31.22 125.11  144.08   52.59 -176.16   17.71
1.590   1.502    58.25  37.33   58.05   98.84  163.14    0.25
1.646   1.527    30.79  59.46   49.53   98.64  157.14   -2.36
1.861   1.897    24.66  33.97  100.10   48.83 -166.89    9.13
1.594   1.458    24.63  24.97  136.86  151.59  176.93  -30.09
1.033   1.398    39.77  32.71   83.37  142.08 -172.05 -156.50
1.673   1.881    27.87  38.13  104.64   52.08  166.96  -16.52
1.619   1.155    28.83  56.78  111.82   48.58   -7.14  -12.76
1.384   0.866    23.23  26.44  140.04  141.22 -158.59  -18.80
2.222   2.159    33.58  22.25   90.08  145.18 -175.44  176.02
1.384   1.527    28.02  32.10   58.76   95.22  173.59 -168.84
2.951   3.305    30.16  24.86   49.99   90.85  163.18   -4.79
2.308   1.561    29.85  35.08  107.67   67.63  163.89    4.34
0.969   0.078    23.49  34.67  152.44  144.17 -175.56   23.28
1.963   2.162    29.62  29.93   93.55   49.52  171.57   17.17
1.395   1.562    47.42  29.28   83.01   56.16 -179.05   14.74
1.812   2.383    69.97  30.12   50.40   94.31  161.48   -7.96
2.679   0.665    35.83 122.29  113.28   50.91  172.07    7.48
1.951   2.156    35.83  27.37  152.33   52.96  -17.50  -19.68
1.557   0.794    27.14  52.65   87.59  112.31 -176.47   -6.33
1.469   1.514    28.77  37.85  133.65  149.28 -174.49   13.87
1.483   1.464    33.78  34.74   55.99   93.82  175.31    9.11
1.215   1.098    39.44  22.48   61.25  136.27  179.33   11.68
2.544   2.710    33.63  24.39   96.26  156.93  169.97   17.61
1.703   2.464    24.16  27.26  107.29   56.08  175.60    7.58
1.650   1.402    39.63  34.70   84.60  110.39  173.86  -12.33
1.301   1.293    26.70  46.15   67.17  138.83 -164.32  161.64
1.789   1.995    77.03  52.00   59.03   92.24 -167.96   -6.86
1.762   2.103    32.14  27.34  141.01   60.86 -171.86    3.64
0.964   1.201    22.41  42.35  149.78  117.37   20.05   19.80
2.957   1.484    50.69  45.71  109.10   96.07  178.60    0.72
0.840   1.423    66.20  28.27   55.23  108.67  170.66   -7.90
1.855   2.237    64.18  83.78   85.34  137.33 -177.88  -17.47
1.281   1.212    41.57  48.18   85.65  111.86 -169.93   -7.08
1.480   0.858    41.99  62.32  101.06   46.91  166.84    6.14
1.340   1.172    24.39  43.96  106.54   52.99 -170.61   -9.99
1.696   1.783    30.09  35.08  146.19   48.74   15.69   20.86
1.015   1.086    45.79  30.32   97.88  147.83  167.20    8.72
2.937   3.167    40.72  33.58  159.56   89.70  161.43  -10.64
1.724   1.725    36.50  30.91  142.57   68.97  -13.67   11.82
1.516   1.987    33.11  60.92  148.58   49.29   32.89    7.02
1.955   2.298    32.18  27.53   64.52   53.53  171.84   -7.27
0.902   1.629    78.89  80.01  106.22  136.83  168.68    7.98
1.837   1.599    47.85 101.98  101.46  118.34 -166.20   -3.97
2.037   2.244    60.35  29.59  108.09  152.80 -164.05  -30.99
1.533   1.542    53.98  25.93   62.01   90.70  177.35  -11.16
1.565   0.906    26.02  32.79  117.98   53.97   -6.89    4.35
1.439   1.287    30.12  26.70  104.65  144.13  174.21    7.48
2.226   2.481    74.89  61.43   64.70  159.69  162.97   -2.07
1.173   1.405    26.33  26.18  143.96   90.84  165.22   12.48
0.976   0.987    47.99  71.63  120.08   69.98   -4.60   -6.19
2.710   2.750    28.54  28.61   48.02   96.35  163.28  176.91
1.898   1.442    33.92  29.89   99.47   98.06 -173.73   -0.26
1.477   1.694    58.31  86.86  141.52   70.97 -177.99   -1.95
1.411   1.567    27.34  59.29   62.43  111.35 -179.11   -1.25
0.976   1.279    28.58  62.47   54.71   68.35  172.27   -7.86
2.089   1.635    32.62  31.64  101.64   50.52   15.81   21.78
